,Place,Event,Time,Date,Subject
109,"['Essex', 'Bedford', 'September', 'a charter', 'Geoffrey Fitz Peter', 'a charter', 'Edward', 'the earlier charter', 'Tuesday']",['which'],[],"['annual', 'September', '1200', 'Monday', '1614', 'Friday', 'Tuesday']","['Geoffrey', 'Fitz Peter', 'earl', 'Edward', 'earl']"
110,"['Bloody', 'this day', 'the loss']","['some members', 'that']",[],"['August', 'Monday', 'this day', '1855']",[]
111,"['United States', 'the first Tuesday', 'the first Monday', 'primary elections', 'the first Tuesday', 'August']",[],[],"['the first Tuesday', 'the first Monday', 'November', 'odd-numbered years', 'the first Tuesday', 'August']",[]
112,"['evennumbered years', 'the first Monday']",[],[],"['years', 'the first Tuesday', 'the first Monday in January']",[]
113,"['the first Tuesday', 'November', 'other times']",[],[],"['annually', 'Tuesday', 'the first Monday in', 'November']",[]
114,"['the charter', 'the Monday', 'Michaelmas', 'hiring', 'the same day']",[],[],"['1558', '1792', 'Monday', 'the same day']",['Michaelmas']
115,"['even numbered years', 'the first Tuesday', 'the first Monday', 'the first Thursday', 'August']",[],[],"['the first Tuesday', 'the first Monday in', 'November', 'the first Thursday', 'August']",[]
116,"['odd numbered years', 'the first Monday', 'a provision', 'more than 20 days']","['The legislature', 'the governor']",[],"['odd numbered years', 'the first Monday in January', '75 days', 'more than 20 days']",[]
117,"['London', 'Leighton Buzzard', 'accordance']","['who', 'the trustees']",[],"['Monday', '1646']",[]
118,"['the time', 'the possession', 'a borough']","['Bideford', 'it']",[],"['the 18th century', 'Monday']","['Bideford', 'Grenville', 'Edward I.', 'Richard de Grenville', 'Richard de Grenville']"
119,['Richard de Grenville'],['Another charter'],[],"['1271', 'Monday', ""five days'"", 'yearly', 'July']","['Richard de Grenville', 'St Margaret']"
120,[],[],['Monday morning'],[],[]
121,['Monday'],"['A sort-of confirmation', 'I']",[],['Monday'],[]
122,"['Deidre', 'Hell']","['He', 'Deidre']",['Monday night'],[],[]
123,"['Grand Junction', 'Grand Junction', 'Monday morning']","['I', 'I']",['morning'],['Monday'],[]
124,['spring'],"['the dance master', 'that']",[],"['Monday', 'months']",[]
125,[],['pro football'],[],['Monday'],[]
126,"['the motel', 'Monday']",['The two detectives'],[],"['Monday', 'their weekend']",['Baratto']
127,[],['Anderson'],['morning'],['Monday'],['Anderson']
128,['a Monday morning'],[],['morning'],['Monday'],[]
129,['Monday'],['I'],[],['Monday'],[]
130,['a performance'],[],[],"['Monday 22nd to Friday 27th July', 'Saturday 28th July']",[]
131,"['the office', 'Monday 16th']",[],[],['Monday 16th January'],[]
132,['Monday'],[],[],['Monday'],[]
133,['Monday 11th April'],"['The adoration', 'Adoration']",[],['Monday 11th April'],[]
134,['a small aftershock'],[],['some 20 minutes later'],['Monday'],[]
135,"['BBC', 'Monday evenings']",['Series'],[],['Monday'],[]
136,"['the Monday', 'Glasgow Southern General Hospital']",[],[],['Monday'],[]
137,"['honor', 'Monday']","['Both teams', 'who']",['this evening'],['Monday'],"['Rams', 'Brian Clough']"
138,"['Aston', 'America', 'connection']",[],[],[],[]
139,[],"['A former commander', 'the photos']",[],['Monday'],['David Black']
140,[],"['I', 'I']",[],"['Monday, September 12th, 2005']",[]
141,[],[],[],['Monday - Friday'],[]
142,"['a cold Monday evening', 'a dank basement']","['she', 'pretension free songs']",['evening'],['Monday'],[]
143,"['Air', 'Saturday']",['2 pm'],[],['Monday to Saturday'],[]
144,"['Monday night', 'the promise']",[],['Monday night'],['Tuesday'],[]
145,['the unfailing beneficence'],['The Prime Minister'],[],['Monday 3rd June 2002'],[]
146,[],"['The Hundred Year Winter', 'Which', 'recent family blockbuster']",[],['Monday 26th June 2006'],[]
147,['Monday AM'],"['they', 'we']",[],['Monday'],[]
148,['Monday'],['we'],[],['Monday'],['Lady Amos']
149,[],['that'],[],['Monday 13th June 2005'],[]
150,['Monday'],['I'],[],['Monday this week'],[]
151,"['water cartage', 'the afternoon']",[],['the afternoon'],['Monday the 24th'],[]
152,"['Bridge Street', 'Monday', 'a man']","['who', 'he']",[],['Monday'],[]
153,[],"['Allotment Diary', 'you']",[],['Monday 12th June 2006 Back to June'],[]
154,"['Monday', 'May']",['Around 750 people'],[],['Monday May 10'],[]
155,['£ 8.95 - 8oz steak'],['only - Two people'],[],['Monday 17th July'],[]
156,[],"['this group', 'what', 'the program']",[],['Monday'],[]
157,['Aston'],['The article'],[],[],[]
158,[],['The first vote'],[],['Monday'],[]
159,['the weekend'],[],[],"['Monday to Friday', 'the weekend']",[]
160,"['Monday', 'Jim Middlemas']",['The archery contest'],[],['Monday'],"['Jim Middlemas', 'Graham Brough']"
161,['the decision'],[],[],['Monday 20th August'],[]
162,['courier'],[],[],"['Friday', 'Monday']",[]
163,[],['I'],[],['Last Monday'],[]
164,[],['All parties'],[],['Monday 10 May 2004'],[]
165,"['Balfour Hospital', 'Monday']",['Scapa Flow diver'],[],['Monday'],[]
166,[],[],['night'],['a week last Monday'],[]
167,"['London', 'Monday February']",[],[],"['February 13 2004', 'Monday February 16']",[]
168,"['Surrey', 'Monday']","['Disruption', 'train', 'BBC - A train']",[],['Monday'],['Surrey']
169,"['Monday', 'Friday']",[],[],['Monday to Friday'],[]
170,[],"['The tribunal', 'the fact', 'the claimant']",[],['Monday bank holidays'],[]
171,['Manic Monday Limited Looking'],[],[],['Manic Monday'],[]
172,['10 a.m.'],['Anderson'],['10 a.m.'],['Monday'],['Anderson']
173,"['Mound', 'a major face-lift']",[],[],['this coming Monday'],[]
174,"['Marlow', 'Marlow RFC', 'Monday', '7.30pm']",[],[],['Monday April 5th'],[]
175,['something'],"['Monday 15th May', 'you', 'you']",[],"['Monday 15th', 'May 2006', 'a few days ago']",[]
176,['football'],['the Monday five-a-side footy'],[],['Monday'],[]
177,['Monday gasoline station forecourts'],[],[],['Monday'],[]
178,['the Monday'],"['Delyse', 'who']",[],['Monday'],[]
179,[],[],[],['Monday'],[]
180,"['Sunday', 'Monday']",[],[],"['Sunday', 'Monday']",[]
181,['the Colston Hall'],['The Beach Boys'],[],['Monday'],[]
182,"['Edinburgh', 'Monday 7th August']",['Gorse fire'],[],['Monday 7th August'],[]
183,['Monday'],[],['every half-hour'],['Monday to Friday'],[]
184,[],['I'],"['Sunday morning', 'morning', 'tonight']",['Monday'],[]
185,[],['I'],['night'],['Monday'],[]
186,['the monday'],['we'],[],['monday'],[]
187,[],"['|', 'more Things']",[],['Monday 27th October 2003'],[]
188,[],[],[],['Monday'],[]
189,['8.00 am'],['The service'],"['half hourly', '7.00 pm']",['Monday - Friday'],[]
190,[],[],[],"['Sunday 8th January 2006', 'Monday']",[]
191,[],['We'],[],[],[]
192,"['Monday', 'this latest indiscretion']","['Imogen', 'Big Brother']",[],['Monday'],[]
193,[],"['Monday 2nd December', 'the official launch']",[],['Monday 2nd December'],[]
194,[],"[""Westminster Today's press""]",[],"['Monday, February 3']",[]
195,"['Monday', 'the existing trial system']",['His proposals'],[],['Monday'],[]
196,['a way'],['I'],[],['Monday'],[]
197,['the synapse'],"[""Monday's session""]",[],['Monday'],[]
198,['the Monday'],['the parlor maid'],[],['Monday'],[]
199,['the Monday'],"['I', 'they', 'they']",[],['Monday'],[]
200,['Sunday Closed'],['Availability'],['6pm to midnight'],"['Monday to Friday 12', 'Sunday', '25', '31 December']",[]
201,['Monday'],['The suit'],[],['Monday'],[]
202,[],['Age Concern'],[],['Monday of the month'],[]
203,"['the Monday', 'the Run']",['the gear shift'],[],['Monday'],[]
204,[],[],[],"['Monday, June 26 2006 Update']",['Library']
205,"['a Monday morning', 'payment']",['The TES'],['morning'],"['Monday', 'Friday']",[]
206,[],[],[],"['last week', 'Monday 12 December 2005']",['Virgin Trains']
207,['last Monday'],"['It', 'the signallers', 'they']",[],['last Monday'],[]
208,['FF1600'],[],[],['Monday'],[]
209,[],[],['tonight'],['Monday'],[]
210,"['Manchester', 'Manchester']",['the tie'],[],['next Monday'],[]
211,"['Henley', 'Whites']",['I'],[],['last Monday'],['Abingdon']
212,[],[],['tonight'],"['Monday, November 21, 2005']",['Bob Rowley']
213,"['this way', 'the Department Office', 'Monday']","['Students', 'who']",[],['Monday 20 November 2006'],[]
214,['Monday'],['they'],[],['Monday'],[]
215,"['example', 'crunches', 'stationary lunges']",['you'],[],['Monday'],[]
216,[],[],[],['monday'],[]
217,['Copenhagen City Hall'],[],[],"['Monday 14 August, 2006']",[]
218,"['custody', 'custody', 'custody', 'Monday', 'several driving offenses']",['Sanday resident'],[],['Monday'],[]
219,[],[],[],['Monday to Saturday 8.30am - 6.30pm'],[]
220,[],['Senate Majority Leader Bill Frist'],[],['Monday'],['Bill Frist']
221,['magistrates'],['A man'],[],"['tomorrow', 'Monday, February 6']",['Southend']
222,[],[],[],[],"['Lawrence Cruise Lines', 'cairns']"
223,"['New Red Sea', 'a liveaboard safari']",['you'],[],['Monday 14th March 2005'],[]
224,"['the Duke of Northumberland', 'this', 'Monday 11 April']",['we'],[],['Monday 11 April'],[]
225,"['a pink scarf', 'the cafe', '3pm']",['I'],['3pm'],['Monday'],[]
226,"['Clevedon', 'Monday 1st', 'her PB', 'the 200m Freestyle event']",['She'],['almost 4 seconds'],"['Monday 1st', 'August']",[]
227,"['half-time', 'sore shins']",['Colin Cameron'],[],['Monday'],"['Colin Cameron', 'Michael Oakes', 'Keith Andrews']"
228,"['a short, pleated denim skirt']",['Williams'],['Monday night'],[],['Williams']
229,"['Sofia', 'Monday July 24th']",['the mayor'],[],['Monday July 24th'],[]
230,"[""seven o'clock""]",['We'],"[""early at seven o'clock""]",['Monday 19th March'],[]
231,['Monday night'],['we'],['Monday night'],[],[]
232,['a Monday'],"['I', 'I']",[],['Monday'],[]
233,['Monday'],[],[],['Monday'],[]
234,['the early hours'],['A severe storm'],['the early hours'],['Monday 30th October'],[]
235,"['the close', 'all present']",[],['evening'],['Monday'],[]
236,['India'],"['The very first Monday Mr Russell', 'it']",[],[],['Russell']
237,['Monday'],['A COLLISION'],[],['Monday'],[]
238,"['Burgess', 'BBC local news monday teatime']",[],[],['monday'],[]
239,"['Bream', 'Bream', 'the violent tempest', 'the afternoon']",['which'],[],['Monday 25 June'],[]
240,['your ears'],[],"['10am', '2pm']",[],[]
241,[],[],[],"[""Monday 18th July '05""]",[]
242,['Bolton County'],"['All Monday nights training', 'Bolton County']",['nights'],['Monday'],[]
243,['Bank Holiday'],['Whoever'],[],['May 2nd'],[]
244,[],"['we', ""a men's health""]",[],"['Monday', '07 February 2005']",[]
245,"['Jetstream', 'BAe', 'Friday', 'one service']","['Flights', 'Jetstream']",[],"['daily', 'Monday to Friday', 'Sunday']",[]
246,"['Monday', 'the Fire Station']",['The car wash'],[],['Monday'],[]
247,"['Monday', 'regard']","['I', 'I']",[],['Monday'],[]
248,"['Dublin', 'the British']",['Easter Monday 1916'],[],[],[]
249,"['Monday', 'a gang']",['Sosa'],['morning'],['Monday 25 February'],['Sosa']
250,"['Britain', 'Monday', 'his PhD thesis']",['Neil Pemberton'],[],['Monday'],['Neil Pemberton']
251,"['computer', 'Monday']",[],[],['Monday'],[]
252,['Monday 10th July'],[],['8am and 5pm'],['Monday 10th July'],[]
253,[],[],[],"['the bank holiday weekend', 'Sunday and Monday']",[]
254,['Monday night'],"['Matt', 'him']",['Monday night'],[],['Matt']
255,"['Scotland', 'a preliminary skirmish', 'which', 'a personal combat', 'a single blow', 'Monday']","['Bruce', 'he', 'the complete rout']",[],"['Sunday the 23rd', 'Monday the 24th']","['Bruce', 'Henry de Bohun', 'Bruce']"
256,"['Easter Monday', 'the pulpit cross']","['Easter Monday and', 'the Spital sermons']",[],['Tuesday'],[]
257,"['parliament', 'that']",['It'],[],"['1302', '1590', 'every three weeks', 'Monday']",['Elizabeth']
258,"['the eve', 'Monday', 'procession', 'her female friends']",[],[],"['the last day', 'the eve of Friday', 'Monday']",[]
259,"['prayer', 'the spread']",['the Northamptonshire Association'],[],"['early as the year 1784', 'the first Monday of every month']",[]
260,[],['Mr. Anagnos'],[],['Monday'],['Anagnos']
261,['you'],"['I', 'we']",[],['last Monday'],[]
262,['Israel'],"['Debate', 'Mr Sharon', 'the Israeli pullout']",[],['Monday'],['Sharon']
263,[],[],[],['last Monday'],[]
264,[],['The external walls'],[],"['Monday, August 16, 2005']",[]
265,['Google access'],"['Internet users', 'Monday']",[],['Monday'],[]
266,"['Monday', 'the tabloids', 'a one-off gig']",['that'],[],['Monday'],[]
267,"['Monday morning', 'the top floor']",['I'],['morning'],['Monday'],[]
268,"['custody', 'custody', 'Monday', 'several driving offenses']",['Sanday resident'],[],['Monday'],[]
269,[],['Easter Re-opening Celebrations Easter bank'],[],"['Sunday and Monday', '17th April']",['Easter Re-']
270,"['Western Union', 'Monday']","['We', 'you', 'you']",[],['Monday'],[]
271,['Monday'],['the Prime Minister'],[],['Monday'],[]
272,"['January', 'Monday nights']",[],[],"['January 1979', 'Monday nights']",[]
273,"['addition', 'Monday']",[],[],['Monday'],[]
274,['a Monday'],"['I', 'I']",[],['Monday'],[]
275,['a surprise trip'],['A GROUP'],[],['Monday 3rd January 2005'],[]
276,[],[],[],[],['cairns']
277,['the Eurostar'],[],[],['Monday'],[]
278,"['the House', ""the government 's bill"", '16 year olds']",['four Anglican bishops'],[],"['Last Monday', '16 year olds']",[]
279,"['half-time', 'sore shins']",['Colin Cameron'],[],['Monday'],"['Colin Cameron', 'Michael Oakes', 'Keith Andrews']"
280,"['the skiers', 'a slalom course']",['Monday Race training'],[],['Monday'],[]
281,"['Sourceforge', 'Sourceforge']",['I'],[],['Monday 27 June 05'],[]
282,"['Monday 4th', 'Sunday 10th August']",['Smog levels'],[],['Monday 4th to Sunday 10th August'],['Smog']
283,"['Sofia', 'Monday July 24th']",['the mayor'],[],['Monday July 24th'],[]
284,['South Wales'],[],[],"['DAY THREE - Monday', 'Today']",['Vale of Glamorgan']
285,['a vehicle'],[],[],['Monday'],[]
286,['Easter Monday'],['Easter Monday'],[],[],['Grafton Hunt']
287,['the storefront window'],"['who', 'the damage', 'the puppies']",['morning'],['Monday'],[]
288,"['Farndon', 'the swirling waters', 'Monday', 'the Britannia Inn', 'Farndon']",[],[],['Monday'],[]
289,['Monday'],['It'],[],['Monday'],[]
290,"['U.S.', 'Basra', 'Monday']",['U.S. warplanes'],[],['Monday'],[]
291,"['Burgess', 'BBC local news monday teatime']",[],[],['monday'],[]
292,[],[],[],"[""Monday 18th July '05""]",[]
293,"['the appearance', 'a holder']",['Sunday'],[],"['Monday, Sunday']",['Jon Spencer']
294,['the first Monday'],[],[],['the first Monday of the'],[]
295,[],"['we', ""a men 's health""]",[],"['Monday', '07 February 2005']",[]
296,"['San Francisco', 'a long-haul flight', 'Monday']","['I', 'I', 'the 12 hours']",['the 12 hours'],['Monday'],[]
297,[],[],[],"['April 14 th 1915', 'Monday']",[]
298,['UK'],['we'],[],['Monday'],[]
299,"['Monday', 'The Holburne Museum']",['The unveiling'],[],"['Monday 18 September, 2006']",[]
300,"['Twerton Park', 'Monday afternoon']","['Vetch Field director', 'he']",['afternoon'],['Monday'],['Brian Flynn']
301,"['computer', 'Monday']",[],[],['Monday'],[]
302,[],[],['Morning'],"['Monday, July 26th, 2004', 'weekday']",[]
303,[],[],[],['Monday - Saturday'],[]
304,"['a Monday', 'a Saturday morning']","['you', 'the ticket']",['morning'],"['Monday', 'Saturday']",[]
305,"['a Thursday', 'a Tuesday', 'Friday', 'Monday']",[],[],"['Thursday', 'Tuesday', 'Wednesday', 'Friday', 'Monday']",[]
306,[],[],['afternoon'],"['Sunday', 'Monday']",[]
307,['Monday'],"['that', 'you']",[],"['Monday', 'Tuesday', 'those days']",[]
308,[],"['that', '77 percent']",[],"['That year', 'the first Monday after', 'Thanksgiving']",[]
309,['that day'],"['online retailers', 'people', 'they']",[],"['this particular Monday', 'that day']",[]
310,"['a long Thanksgiving weekend', 'work', 'Monday']","['It', 'people']",[],"['a long Thanksgiving weekend', 'Monday', 'the Christmas season']",[]
311,['a pro year-round'],[],"['10 a.m. to 9 p.m.', '10 a.m. to 7 p.m.']",['Sundays'],[]
312,['March 1st'],['Regular hours'],"['10 a.m.-9 p.m.', '11 a.m.-7 p.m.']","['March 1st', 'Monday through', 'Saturday', 'Sunday']",[]
313,[],[],['10 a.m.-9 p.m.'],"['Monday', 'Sunday 10 a.m.-7 p.m.']",[]
314,['Monday'],['which'],"['10 a.m.-9 p.m.', '10 a.m.-7 p.m.']","['Friday', 'Monday', 'Friday, Saturday and', 'Monday', 'Sunday']",[]
315,[],['their Labor Day Sale'],['10 a.m.-9 p.m.'],"['Friday through', 'Monday']",[]
316,['a pro year-round'],[],"['10 a.m. to 9 p.m.', '10 a.m. to 8 p.m.']",['Sundays'],[]
