,Place,Event,Time,Date,Subject
296,Monday,the 12 hours,,,
297,,,,,
298,UK,we,,,
299,The Holburne Museum,The unveiling,,,
300,Monday afternoon,he,,,Brian Flynn
301,Monday,,,,
302,,,,,
303,,,,,
304,a Saturday morning,the ticket,,,
305,Monday,,,,
306,,,,,
307,Monday,you,,,
308,,77 percent,,,
309,that day,they,,,
310,Monday,people,,,
311,a pro year-round,,,,
312,March 1st,Regular hours,,,
313,,,,,
314,Monday,which,,,
315,,,,,
316,a pro year-round,,,,
317,,,,,Johnson Creek
318,,,,,
319,the year,,,,
320,,,,,
321,,,,,
322,,special events,,,
323,,,,,Burlington Outlet Village
324,,,,,
325,December 25th,which,,,
326,,,,,
327,specific stores,that,,,
328,,,,,
329,Easter,,,,
330,your recommendations,I,,,
331,,,,,Diamond
332,,,,,
333,"your ""old house"" projects",you,,,
334,,All four shades,,,
335,7 a.m.,,,,
336,blackout dates,season,,,WiFi
337,,,,,
338,9 am,,,,
339,,,,,
340,,,,,
341,,the Monday Night Football theme singer,,,
342,,Dancing,,,
343,8 p.m.,the 90-minute performance show,,,
344,a Beverly Hills courthouse,the couple,,,
345,Monday afternoon,Treanor's reps,,,
346,their songs,,,,
347,your Monday morning lecture,you,,,
348,8 a.m.,the ship,,,
349,8 am,the ship,,,
350,Monday morning,I,,,
351,my horror,I,,,
352,,you,,,
353,instance,the Midwest retailer Meijer,,,
354,a mundane Monday morning,you,,,
355,Friday,you,,,
356,a Monday Night Football broadcast,,,,
357,the Virtual Console,,,,
358,the following Monday,I,,,
359,,This,,,
360,,we,,,
361,,The one-two punch,,,
362,8 pm,,,,
363,shape,,,,
364,the first copy,You,,,
365,the Civil War,who,,,
366,the last Monday,the U.S. Congress,,,
367,,,,,
368,those busy Monday mornings,,,,
369,,you,,,
370,Friday,you,,,
371,Tuesday,An interest rate,,,
372,,,,,
373,Friday,you,,,
374,Friday,Interest.com,,,
375,Friday,,,,
376,Wednesday morning,you,,,
377,Monday,Maxfield,,,
378,Friday,The Marin Humane Society,,,
379,new free photos,,,,
380,8 a.m.,consumers,,,
381,Friday,You,,,
382,,,,,
383,,,,,
384,,,,,
385,May,,,,
386,such a crucial time,you,,,
387,Thursday,the family,,,
388,US,,,,
389,the first Monday,Labor Day,,,
390,gain,This museum,,,
391,the 13th,that,,,
392,the fourth Monday,,,,
393,Monday,,,,
394,Tuesday,chili,,,
395,a variety,who,,,
396,the next week's list,Spoilers,,,
397,Friday,they,,,
398,her,fans,,,Kristin
399,completion,,,,
400,,they,,,
401,,,,,
402,,,,,
403,Friday,,,,
404,Monday,what,,,
405,a fourth season,,,,Gossip Girl
406,the office,,,,
407,Friday afternoons,,,,
408,seven hours,,,,
409,several weekends,,,,
410,7 a.m.,,,,
411,Monday,this task,,,
412,8 a.m.,you,,,
413,Monday,you,,,
414,Monday mornings,,,,
415,breakfast,,,,
416,a visual aid,,,,
417,a Monday,many national holidays,,,
418,themselves,many people,,,
419,8 a.m.,,,,
420,Friday,others,,,
421,,,,,
422,,,,,
423,Friday,,,,
424,,,,,Bizarre Love Triangle
425,the event,The students,,,
426,addition,the store,,,
427,,,,,
428,America,ABC,,,
429,9 p.m.,,,,
430,Monday nights,You,,,
431,the start,that,,,Nicollette Sheridan
432,,,,,
433,Smallville,The WB,,,
434,Monday,He,,,
435,peer-reviewed issues,,,,
436,town,I,,,
437,the office,she,,,Howie
438,,,,,Howie
439,early morning,he,,,Howie
440,Hell,Deidre,,,
441,his ears,,,,Annie Quincy's
442,,Fred,,,Chip Burgess
443,Scranton,Fred,,,Fred
444,"70,000 officers",,,,the King of the
445,the basis,Settlement days,,,
446,sixty days,,,,
447,me,she,,,
448,unusual interest,Brutus,,,Brutus
449,the sharp-tongued woman,she,,,
450,,Martha,,,Martha
451,Tuesday,The fair,,,
452,Tuesday,she,,,
453,,,,,
454,the streets,,,,
455,jury duty,Fred O'Connor,,,Fred O'Connor
456,Tuesday,,,,
457,Tuesday,He,,,
458,,you,,,
459,Thirteen Senses,,,,
460,,A royal charter,,,
461,Tuesday,depositions,,,St Peter's Day
462,Tuesday,,,,
463,Tuesday,29 trucks,,,
464,,Frank,,,Frank
465,,,,,Chung Mong Koo
466,the Tuesday,what,,,BOSTOCK
467,a return,,,,
468,Christie Reef,we,,,Christie Reef
469,last Tuesday's Test match,He,,,
470,Tuesday,the Mayor,,,
471,that online commodity trading,the broker,,,
472,the Priestfield Stadium,Gillingham,,,Southend United
473,,,,,
474,the early hours,The operation,,,
475,,the cash flow,,,
476,,,,,
477,wheat,farmers,,,
478,Morocco,that,,,
479,,A deadline,,,
480,a large demonstration,,,,
481,Tuesday 30th April,,,,Mathew
482,patch,Micorsoft,,,Micorsoft
483,Seymour Street,"a tall, well-dressed man",,,Euston
484,,You,,,
485,connection,,,,Dean Stanbury
486,mr postman,I,,,
487,Liege Manor Farm Equestrian Center,The welsh qualifier,,,
488,Tuesday,,,,
489,UK,,,,Ray Lashley
490,honorary sheriff Bill Wright,Howley,,,Bill Wright
491,an absolute minimum,,,,
492,the game,They,,,Luton
493,Amington,The first walkabout,,,
494,May Great,,,,Kenny Griffith
495,weekends,The Friends,,,
496,Tuesday 1st,,,,
497,,,,,
498,the feasts,Elizabeth,,,St George
499,the first Wednesday,,,,
500,Tuesday,only Corpus Christi,,,
501,the pulpit cross,the Spital sermons,,,
502,the Tuesday,the great Epsom meeting,,,Horse-Racing
503,Tuesday,who,,,Helene
504,Tuesday,he,,,
505,Liege Manor Farm Equestrian Center,The Welsh qualifier,,,Welsh
506,Wednesday 30th November,,,,
507,,Your Daily Vitamin Pills,,,Vitamin Pills
508,something,Michael Howard,,,Michael Howard
509,my Dad,,,,
510,,The group 's steering committee,,,
511,Tuesday,U.S. planes,,,
512,Tuesday,They,,,Whitehaven
513,,,,,Leo Hickman 's
514,testicle cancer,More men,,,
515,You,We,,,
516,tuesday 21st september,you,,,
517,the Saturday,you,,,
518,2.30pm,Miss G,,,
519,first play,,,,
520,,,,,
521,May Great,,,,Kenny Griffith
522,,,,,Yew
523,Tuesday afternoons,Thesanitationworkers,,,
524,,,,,
525,Monday,,,,
526,a Tuesday evening,,,,
527,Monday,you,,,
528,Tuesday,they,,,
529,your site,I,,,
530,a hamburger,Wimpy,,,Wimpy
531,,,,,
532,Kirklands,stores,,,
533,Tuesday,the court,,,
534,10 PM,,,,
535,,,,,
536,Tuesday,,,,
537,Tuesday,,,,
538,your independent study,you,,,
539,,Cruises,,,
540,,The last show,,,Shawn Messonnier
541,my show,,,,Shelby Marlo
542,bars,,,,
543,Tuesday mornings,Safeway/Tom Thumb stores,,,Tom Thumb
544,what,you,,,
545,,,,,
546,midnight,we,,,
547,Tuesday afternoon,our warehouse,,,
548,the first Tuesday,the wine dinner,,,
549,,Classes,,,
550,Tuesday,An interest rate,,,
551,Tuesday,you,,,
552,Wednesday,the weeks,,,
553,Friday,diners,,,
554,,,,,
555,Tuesday,the name change,,,
556,Tuesday,,,,
557,the other hand,something,,,
558,a hamburger,he,,,Popeye
559,a Tuesday,you,,,
560,the final episode,,,,
561,,Stores,,,
562,Portland,,,,
563,the first Tuesday,,,,
564,2 p.m.,the Houston Zoo,,,
565,Free Admission,All Tennessee residents,,,
566,,,,,
567,Monday,,,,
568,Tuesday,chili,,,
569,,,,,
570,completion,,,,
571,upcoming episodes,what,,,
572,the low tourist season,You,,,
573,a Friday,,,,
574,,,,,
575,Tuesday,you,,,
576,Tuesday,they,,,
577,Monday,this task,,,
578,themselves,many people,,,
579,92 Front Street,a treasure trove,,,
580,Tuesday,The concert,,,
581,,the albums,,,
582,a songwriter,she,,,Crow
583,the group,she,,,
584,this,The problems,,,
585,Crow,Tuesday Night Music Club,,,Crow
586,,,,,Crow
587,purchase,,,,
588,Music,,,,
589,new tracks,,,,
590,a rigid curtain call,the show,,,
591,,Fred she,,,Fred
592,the early morning hours,Jeffrey Byrne,,,Maid Marian Lane
593,the afternoon,She,,,McCarthy
594,midnight,he,,,
595,,he,,,
596,,we,,,Randy
597,Tuesday,He,,,
598,the memorial service,,,,Cynthia
599,Tuesday afternoon,the Colombians,,,
600,,Fred,,,
601,,you,,,
602,,they,,,
603,,,,,
604,,He,,,
605,,you,,,
606,Tuesday,he,,,Toni
607,,You,,,
608,,,,,
609,,I,,,
610,,his deal,,,
611,his Tuesday night entertainment,,,,
612,Friday,,,,St Barnabas
613,a few followers,who,,,John
614,a Tuesday market,a grant,,,
615,Wednesday,the fire,,,
616,Michaelmas,James I.,,,Michaelmas
617,the sale,Andrew Quicke,,,Andrew Quicke
618,September,,,,
619,the electors,,,,
620,one time,the eating,,,
621,Tuesday,he,,,
622,every county,the superior court,,,
623,the transaction,,,,
624,the usual time,,,,Easter
625,Tuesday,A Leap Year,,,
626,Regard,,,,
627,Tuesday,The Year,,,
628,Saturdays,A Tuesday market,,,
629,Tuesday,the king,,,St Augustine
630,the first Tuesday,,,,
631,them,the heathen Angli,,,Frigg
632,Easter,each,,,St Matthew
633,Tuesday,,,,
634,,,,,
635,Jewry,he,,,St Lawrence
636,March,this paper,,,
637,the 1st,the prior,,,St Lucy
638,the feast,the same Hamo,,,St James
639,Easter week,which,,,
640,the feast,Sir William Fenwick,,,St Martin
641,,,,,St Martin
642,Sir John Lowther,,,,John Lowther
643,addition,,,,
644,the following January,each new administration,,,
645,forty days,The legislature,,,
646,a recorder,the borough,,,Michaelmas
647,Monday,Cromwell,,,
648,,this,,,Elizabeth
649,,his reign,,,
650,Richard Beauchamp,,,,Richard Beauchamp
651,Tuesday,it,,,John
652,it,,,,Dean
653,August,,,,
654,Westminster Abbey,it,,,Westminster Abbey
655,the first Monday,The general state election,,,
656,the first Monday,,,,
657,the second Tuesday,The legislature,,,
658,,the town,,,
659,Tuesday,which,,,earl
660,August,,,,
661,the first Monday,,,,
662,January,,,,
663,Mars,,,,
664,Mercury,,,,
665,Saturdays,Earl Warenne,,,St Lawrence
666,other times,,,,
667,January,The legislature,,,
668,Henry II,,,,Henry II
669,August,,,,
670,,This charter,,,
671,midnight,I,,,
672,,he,,,
673,,we,,,Randy
674,,you,,,Adam Gordon -
675,,the sun,,,
676,the Lebanese Army Command,A statement,,,
677,a calm Tuesday evening,a false alarm,,,
678,,,,,
679,Tuesday,Green Day tribute band Green Date,,,
680,the promise,,,,
681,Sunday night,Desserts,,,
682,the 3rd,Jim Saxton,,,Jim Saxton
683,a retired episcopal bishop,he,,,Bruno
684,the alleged break-ins,,,,
685,a chocolate cake,We,,,Andrew R's
686,Northallerton,County Hall,,,
687,Tuesday,HARROW St Mary,,,HARROW St Mary's
688,the Tuesday,,,,
689,tuesday,I,,,
690,Tuesday,Three top police chiefs,,,
691,Tuesday morning,this purpose,,,HAMER
692,HMP Leeds,A major clampdown,,,HMP Leeds
693,,Saints,,,
694,St George's Chapel,we,,,
695,18 July,The tour,,,
696,Tuesday afternoon,former Westray,,,Norman Cooper
697,all the main union confederations,,,,
698,Mr J F PRICE,,,,
699,,,,,Lunch Menu
700,ebuyer,they,,,
701,Tuesday,Lifeboat assists,,,
702,a cyclone,the French meteorological service,,,
703,red dressing gowns,not judges,,,
704,Venezuela,Top scorer Giovanni Savarese,,,Giovanni Savarese
705,the title pace,Derby defeat,,,
706,Tuesday,I,,,
707,photos,,,,
708,Tuesday 17th,we,,,
709,,the World Cup,,,
710,a meeting,the United States,,,
711,,Wolverhampton's Arena Theater,,,SILENT MOVIE
712,,The MIT ' $ 100 laptop ' project,,,
713,,,,,
714,next Tuesday's APCIMS annual conference,,,,
715,,,,,Jeanne achille
716,Jane Carolan,,,,Jane Carolan
717,,,,,
718,Tuesday,Bell Green gasworks site,,,
719,councilors,,,,Shapinsay
720,tuesday,I,,,
721,a terrible hangover,I,,,
722,the PP,I,,,
723,,,,,
724,Tuesday,I,,,
725,Northern Ireland,A group,,,
726,Tuesday,I,,,
727,,Laverne,,,
728,Tuesday,who,,,
729,part,Microsoft,,,
730,the persecuted men,The London Irish Greens,,,
731,,The group's steering committee,,,
732,,,,,
733,the second incident,a dog,,,
734,someone,who,,,
735,,,,,Leo Hickman's
736,You,We,,,
737,Tuesday,tropical storm Alex,,,"Alex,"
738,Tremont Temple,the blind children,,,
739,Whitsun Tuesday,which,,,
740,Tuesday night,the Rebels,,,Abingdon Town
741,my mouth,I,,,
742,early March,Jeffrey Byrne,,,Jeffrey Byrne
743,,,,,
744,Charles II,,,,Charles II
745,Magna Carta,the conference,,,
746,Tuesday,,,,
747,the Quo Warranto roll,,,,
748,,,,,
749,Tuesday,Mars,,,Mardi
750,Wednesday evenings,They,,,
751,the charter,,,,
752,a Wednesday session,Martha,,,Martha
753,,You,,,
754,King John,"The ""quo warranto"" rolls",,,Walter
755,those,who,,,
756,the memorial service,,,,
757,each year,,,,
758,the Feast,which,,,Dodbrooke
759,the bishop,,,,King John
760,Cairo,the Moslems,,,
761,his estate,the count,,,
762,,The series,,,
763,,,,,
764,just enough puffy clouds,a sky,,,
765,Wednesday,I,,,
766,,,,,
767,the feasts,He,,,
768,St Andrew's day,her family,,,St Andrew's
769,traditional grant,1 5541 555 Queen Mary,,,Edward
770,a charter,,,,Elizabeth
771,Ishtar,,,,
772,Mercury,,,,
773,Henry III,,,,Henry III
774,,she,,,
775,the Bank,Market makers,,,
776,the Bank,Market makers,,,
777,,,,,
778,Wednesday,Middle Pond Joel Rees,,,Middle Pond Joel Rees
779,a Wednesday morning,We,,,
780,Wednesday,that,,,Josie
781,the financial brink,Your expensive tastes,,,
782,the friendly game,Kennedy,,,Kennedy
783,support,MPs,,,
784,a ceremony,,,,John Paul II
785,layoffs,unions,,,
786,your favorite carols,Galore,,,
787,her ousted predecessor,the council's planning chairwoman,,,
788,Sweden,Some delightful stuff,,,
789,many years,A heavy cloudburst,,,
790,suction cups,,,,
791,the chance,,,,
792,a clear blue sky,The balmy summer weather,,,
793,the remaining tepui endemics,fingers,,,
794,Wednesday night,I,,,
795,the purpose,I,,,
796,,,,,
797,,local fishmonger Marcus,,,Marcus
798,a three-year contract,Gills sign striker Sidibe BBC Online Gillingham,,,Mamady Sidibe
799,the same foursome,the two singers,,,
800,Wednesday,The Rev David Lyon,,,The Rev David Lyon
801,term,,,,
802,the afternoon,,,,
803,,you,,,Rex
804,Jo Saunders,June Shula,,,Shula
805,,I,,,
806,a packed hall,we,,,
807,Wednesday,,,,
808,the Canning Inn,an adjourned inquest,,,
809,,,,,
810,the only British competitor,She,,,
811,Wednesday,who,,,
812,US company Monsanto,Europe,,,
813,Wednesday,,,,martin
814,Thursday morning,Players,,,Brizzley Bear
815,7pm,It,,,
816,individuals,,,,
817,,things,,,
818,the next round,Mitch Prince,,,Mitch Prince
819,Wednesday 1st February,,,,Richard Benson's
820,breakfast,we,,,Punta Arenas
821,,,,,
822,,we,,,
823,Wednesday evening,they,,,
824,,she,,,
825,rain,,,,
826,the week's Big Event,,,,
827,Wednesday afternoon,,,,Captains
828,the government's plans,,,,
829,Wednesday,Wrexham FC,,,Wrexham FC
830,a chilly NW breeze,,,,
831,the Free Church prayer meeting,I,,,
832,Wednesday,,,,
833,Belfast City Hall,,,,
834,Indonesia,who,,,Margaret Thatcher
835,,he,,,
836,,Wednesday 15th October 2003 |,,,
837,an abandoned slate quarry,we,,,
838,a squabbling and disorganized rabble,The earthquake,,,
839,these gloves,who,,,Joe Rocket Speedmaster
840,Wednesday,,,,
841,the house,,,,
842,us,Christ,,,
843,the board,The recent sell-off,,,
844,the affair,it,,,
845,Wednesday,,,,
846,Robert Collins,,,,Joseph
847,a move,Ian Moore's agent,,,Ian Moore's
848,wednesday night,He,,,
849,Apu Bagchi,I,,,Apu Bagchi
850,,,,,
851,the insect house,I,,,
852,,The midfield trio,,,Rocastle
853,,,,,
854,Wednesday,they,,,
855,a paint and picnic event,17 June and DIVA members,,,
856,a personal favor,,,,
857,,,,,
858,Wednesday,I,,,
859,a new Goth club,them,,,Goth
860,which,we,,,Tiger
861,5pm,Deadlines,,,
862,others,you,,,
863,the first Wednesday,,,,
864,January,The legislature,,,
865,the Thursday,,,,St Andrew
866,a.,he,,,
867,day,,,,
868,the Tuesday,the great Epsom meeting,,,Horse-Racing
869,,The little girls,,,
870,Wednesday,He,,,
871,,Wednesday 15th October 2003 |,,,
872,Wednesday 30th November,,,,
873,us,Christ,,,
874,,,,,Tracy-Ann Oberman
875,,these wraps,,,
876,their spree,The offenders,,,
877,Wednesday,who,,,Dunoon
878,wednesday night,He,,,
879,Wednesday,,,,
880,more views,we,,,
881,a Wednesday night Bible study,,,,
882,Wednesday,Israeli warplanes,,,
883,bbc2,,,,
884,,Berti Vogts,,,Berti Vogts
885,,,,,WOMBLES
886,a new Goth club,them,,,Goth
887,which,we,,,Tiger
888,5pm,Deadlines,,,
889,Monday,,,,
890,Tuesday,they,,,
891,,,,,
892,,,,,
893,Sunday night bowling,Youth groups,,,
894,questioning,,,,
895,Wednesday's episode,Barbara Walters,,,Barbara Walters
896,a serious actress,that,,,
897,Nick Smith,,,,Nick Smith
898,her family,,,,
899,Wednesday,,,,
900,Wednesday,Great training,,,Gomez
901,,,,,
902,Wednesday,,,,
903,Wednesday,I,,,
904,the sub-$10 class,I,,,Lotto
905,Wednesday morning,you,,,
906,Wednesday,the weeks,,,
907,the morning,it,,,
908,,Party Block Night Clubs,,,
909,Tuesday,the name change,,,
910,January,These sales,,,
911,,,,,
912,that day,,,,
913,you,they,,,
914,the Encore Movieplex,the Encore Movie channel airs,,,Encore Movieplex
915,,that,,,
916,,you,,,
917,a Wednesday,who,,,
918,,their favorite episode and spoiler questions,,,
919,,,,,
920,Tuesday,they,,,
921,Wednesday,We,,,
922,Wednesday,You,,,
923,,Elisabeth,,,Elisabeth
924,,They,,,
925,,it,,,Dean
926,Atlantic City,Fred,,,Fred
927,Atlantic City,,,,
928,early March,Jeffrey Byrne,,,Jeffrey Byrne
929,Wednesday afternoon,,,,Bobby Witherspoon
930,Wednesday,that,,,Jonathan Winston
931,,Wednesday afternoon police business,,,
932,Whitsun week,,,,Edward IV.
933,Wednesday,,,,
934,,,,,
935,Edward III,,,,Edward III
936,the grant,the charter,,,St Lawrence
937,review,They,,,
938,singing,The company,,,
939,a conference,,,,
940,his eighty-eighth year,He,,,Belson
941,the British government,a state,,,
942,Wednesday,the fire,,,
943,the second Wednesday,,,,
944,February,,,,
945,Wednesday,John,,,John
946,an exposition,,,,Ash
947,,,,,
948,Wednesday,,,,
949,Tuesday,he,,,
950,order,the friends,,,
951,the first week,,,,Michaelmas
952,Saturday,,,,
953,Regard,,,,
954,,,,,
955,The Day After,,,,
956,additional services,,,,Ash
957,them,the heathen Angli,,,Frigg
958,,,,,
959,"the ""oratory",he,,,
960,,,,,
961,James I.,,,,James I.
962,January,the interests,,,
963,an early date,,,,
964,midnight,,,,
965,the 11th,,,,
966,Wednesday,,,,
967,the feasts,Queen Mary's charter,,,Queen Mary's
968,holy days,,,,
969,packets,which,,,
970,photos,,,,
971,him,he,,,
972,,,,,
973,any,Brandon,,,Brandon
974,,,,,
975,Wednesday night,they,,,
976,the first Monday,,,,
977,words,he,,,
978,Wednesday,,,,
979,the seasons,the truce,,,the Blessed Virgin
980,my weekly examination,I,,,Rowan
981,,they,,,
982,the week,Most trips,,,Byrne
983,a charter,,,,Charles II
984,the making,the governor,,,
985,air,,,,Dean
986,,we,,,
987,Thursday,I,,,
988,,Ethel Rosewater,,,Ethel Rosewater
989,the horses,she,,,Carmen
990,each,,,,
991,nine rubles,,,,
992,the journey,Savelich,,,Savelich
993,tears,Martha,,,Martha
994,Thursday,Carmen,,,Ed
995,the Thursday market,this,,,
996,,the governor,,,
997,another man,he,,,
998,Boston,he,,,Anagnos
